"","ms_sub_class","ms_zoning","lot_frontage","lot_area","street","alley","lot_shape","land_contour","utilities","lot_config","land_slope","neighborhood","condition1","condition2","bldg_type","house_style","overall_qual","overall_cond","year_built","year_remod_add","roof_style","roof_matl","exterior1st","exterior2nd","mas_vnr_type","mas_vnr_area","exter_qual","exter_cond","foundation","bsmt_qual","bsmt_cond","bsmt_exposure","bsmt_fin_type1","bsmt_fin_sf1","bsmt_fin_type2","bsmt_fin_sf2","bsmt_unf_sf","total_bsmt_sf","heating","heating_qc","central_air","electrical","x1st_flr_sf","x2nd_flr_sf","low_qual_fin_sf","gr_liv_area","bsmt_full_bath","bsmt_half_bath","full_bath","half_bath","bedroom_abv_gr","kitchen_abv_gr","kitchen_qual","tot_rms_abv_grd","functional","fireplaces","fireplace_qu","garage_type","garage_yr_blt","garage_finish","garage_cars","garage_area","garage_qual","garage_cond","paved_drive","wood_deck_sf","open_porch_sf","enclosed_porch","x3ssn_porch","screen_porch","pool_area","pool_qc","fence","misc_feature","misc_val","mo_sold","yr_sold","sale_type","sale_condition","sale_price"
"1",60,4,65,8450,2,"0",4,4,1,5,1,6,3,3,1,6,7,5,2003,2003,2,2,13,14,3,196,3,5,3,4,5,5,4,706,7,0,150,856,2,1,2,6,856,854,0,1710,1,0,2,1,3,1,3,8,7,0,1,3,2003,3,2,548,6,6,3,0,61,0,0,0,0,1,1,1,0,2,2008,9,5,208500
"2",20,4,80,9600,2,"0",4,4,1,3,1,25,2,3,1,3,6,8,1976,1976,2,2,9,9,4,0,4,5,2,4,5,3,2,978,7,0,284,1262,2,1,2,6,1262,0,0,1262,0,1,2,0,3,1,4,6,7,1,6,3,1976,3,2,460,6,6,3,298,0,0,0,0,0,1,1,1,0,5,2007,9,5,181500
"3",60,4,68,11250,2,"0",1,4,1,5,1,6,3,3,1,6,7,5,2001,2002,2,2,13,14,3,162,3,5,3,4,5,4,4,486,7,0,434,920,2,1,2,6,920,866,0,1786,1,0,2,1,3,1,3,6,7,1,6,3,2001,3,2,608,6,6,3,0,42,0,0,0,0,1,1,1,0,9,2008,9,5,223500
"4",70,4,60,9550,2,"0",1,4,1,1,1,7,3,3,1,6,7,5,1915,1970,2,2,14,16,4,0,4,5,1,5,3,5,2,216,7,0,540,756,2,3,2,6,961,756,0,1717,1,0,1,0,3,1,3,7,7,1,4,7,1998,4,3,642,6,6,3,0,35,272,0,0,0,1,1,1,0,2,2006,9,1,140000
"5",60,4,84,14260,2,"0",1,4,1,3,1,14,3,3,1,6,8,5,2000,2000,2,2,13,14,3,350,3,5,3,4,5,2,4,655,7,0,490,1145,2,1,2,6,1145,1053,0,2198,1,0,2,1,4,1,3,9,7,1,6,3,2000,3,3,836,6,6,3,192,84,0,0,0,0,1,1,1,0,12,2008,9,5,250000
"6",50,4,85,14115,2,"0",1,4,1,5,1,12,3,3,1,1,5,5,1993,1995,2,2,13,14,4,0,4,5,6,4,5,5,4,732,7,0,64,796,2,1,2,6,796,566,0,1362,1,0,1,1,1,1,4,5,7,0,1,3,1993,4,2,480,6,6,3,40,30,0,320,0,0,1,4,4,700,10,2009,9,5,143000
"7",20,4,75,10084,2,"0",4,4,1,5,1,21,3,3,1,3,8,5,2004,2005,2,2,13,14,5,186,3,5,3,2,5,2,4,1369,7,0,317,1686,2,1,2,6,1694,0,0,1694,1,0,2,0,3,1,3,7,7,1,4,3,2004,3,2,636,6,6,3,255,57,0,0,0,0,1,1,1,0,8,2007,9,5,307000
"8",60,4,0,10382,2,"0",1,4,1,1,1,17,5,3,1,6,7,6,1973,1973,2,2,7,7,5,240,4,5,2,4,5,4,2,859,3,32,216,1107,2,1,2,6,1107,983,0,2090,1,0,2,1,3,1,4,7,7,2,6,3,1973,3,2,484,6,6,3,235,204,228,0,0,0,1,1,4,350,11,2009,9,5,200000
"9",50,5,51,6120,2,"0",4,4,1,5,1,18,1,3,1,1,7,5,1931,1950,2,2,4,16,4,0,4,5,1,5,5,5,7,0,7,0,952,952,2,3,2,3,1022,752,0,1774,0,0,2,0,2,2,4,8,3,2,6,7,1931,4,2,468,3,6,3,90,0,205,0,0,0,1,1,1,0,4,2008,9,1,129900
"10",190,4,50,7420,2,"0",4,4,1,1,1,4,1,1,2,2,5,6,1939,1950,2,2,9,9,4,0,4,5,1,5,5,5,4,851,7,0,140,991,2,1,2,6,1077,0,0,1077,1,0,1,0,2,2,4,5,7,2,6,3,1939,3,1,205,4,6,3,0,4,0,0,0,0,1,1,1,0,1,2008,9,5,118000
